[239, 206, 187, 206, 61, 148, 240, 130, 164, 144]
[243, 133, 148, 131, 135, 34, 149, 157, 169, 91]
[350, 237, 264, 232, 167, 137, 276, 258, 303, 217]
[372, 229, 300, 219, 214, 223, 263, 302, 335, 246]
[328, 226, 324, 274, 126, 201, 279, 284, 327, 269]
[201, 143, 220, 89, 152, 200, 124, 186, 214, 96]
[396, 220, 280, 260, 204, 210, 274, 310, 370, 234]
[303, 197, 261, 162, 174, 204, 244, 253, 277, 181]
[307, 177, 207, 162, 196, 209, 197, 249, 280, 173]
[181, 112, 183, 91, 149, 123, 69, 159, 211, 85]
